epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1110.23,0.83533,0.63857,1.01462,0.67015,0.73039,0.74757,0.49302,1.19345,1.01097,1.2417,0.000676802,0.000676802,0.000676802
62,1127.99,0.82494,0.60989,0.99871,0.61079,0.72638,0.68784,0.48061,1.15307,1.10301,1.21169,0.000660299,0.000660299,0.000660299
63,1145.84,0.82798,0.60562,0.99904,0.68118,0.7139,0.74114,0.50261,1.18465,1.22003,1.22148,0.000643795,0.000643795,0.000643795
64,1163.26,0.82848,0.61973,1.00221,0.7097,0.64996,0.74455,0.51994,1.13384,1.08276,1.19849,0.000627292,0.000627292,0.000627292
65,1180.6,0.82594,0.60345,1.02014,0.62441,0.79692,0.74976,0.52166,1.15258,0.98321,1.21866,0.000610789,0.000610789,0.000610789
66,1198.02,0.79167,0.57591,0.98953,0.78054,0.67897,0.77113,0.50567,1.24014,1.03989,1.29394,0.000594286,0.000594286,0.000594286
67,1216.21,0.81355,0.56082,1.00274,0.68261,0.70365,0.76392,0.52973,1.18536,1.0357,1.2526,0.000577782,0.000577782,0.000577782
68,1233.76,0.78107,0.55514,0.98098,0.73596,0.71814,0.76714,0.52789,1.19424,0.98329,1.25439,0.000561279,0.000561279,0.000561279
69,1252.04,0.74818,0.55563,0.97645,0.75622,0.67424,0.75527,0.54317,1.1128,0.98773,1.19254,0.000544776,0.000544776,0.000544776
70,1270.25,0.76959,0.5547,0.97346,0.77613,0.67736,0.75544,0.53066,1.14778,0.95502,1.23096,0.000528272,0.000528272,0.000528272
71,1292.7,0.76261,0.51689,0.97555,0.63159,0.793,0.76938,0.53371,1.15151,1.01862,1.22562,0.000511769,0.000511769,0.000511769
72,1310.35,0.77736,0.52739,0.98878,0.67998,0.73463,0.74189,0.51286,1.14054,1.00551,1.21678,0.000495266,0.000495266,0.000495266
73,1328.1,0.76424,0.54582,0.97769,0.67876,0.73619,0.75719,0.51846,1.15398,1.02733,1.22914,0.000478762,0.000478762,0.000478762
74,1345.49,0.7481,0.52212,0.97606,0.75658,0.68249,0.73856,0.49266,1.18353,1.06162,1.24835,0.000462259,0.000462259,0.000462259
75,1362.82,0.76979,0.56348,0.99096,0.66232,0.80125,0.75846,0.52703,1.12668,1.00466,1.19799,0.000445756,0.000445756,0.000445756
76,1380.18,0.74171,0.51087,0.97354,0.6532,0.72821,0.7326,0.50646,1.18675,1.0712,1.25699,0.000429253,0.000429253,0.000429253
77,1393.09,0.72111,0.50586,0.96755,0.66848,0.77028,0.7406,0.52828,1.14503,1.04063,1.23145,0.000412749,0.000412749,0.000412749
78,1405.57,0.76415,0.51032,0.98129,0.6504,0.80125,0.75231,0.52988,1.1367,1.06149,1.2166,0.000396246,0.000396246,0.000396246
79,1418.03,0.7206,0.49872,0.95082,0.7719,0.68085,0.7542,0.51238,1.18712,1.03721,1.25935,0.000379743,0.000379743,0.000379743
80,1435.7,0.75293,0.50806,0.98304,0.67147,0.74319,0.76753,0.53283,1.15913,1.09852,1.2361,0.000363239,0.000363239,0.000363239
